Incident Number,bsee_activity,bsee_type_checkboxes,bsee_operation,bsee_cause_checkboxes,bsee_water_depth,bsee_property_damaged,bsee_possible_ocs_violations,bsee_violations_narrative,bsee_onsite_investigation_date,bsee_accident_classification,bsee_panel_formed,bsee_operator,bsee_form_revision,bsee_extract_status,bsee_source_url,bsee_sha256
GC-254-20181223-1800,EXPLORATION(POE) X DEVELOPMENT/PRODUCTION (DOCD/POD),HISTORIC INJURY REQUIRED EVACUATION LTA (1-3 days) LTA (>3 days RW/JT (1-3 days) RW/JT (>3 days) Other Injury FATALITY POLLUTION FIRE X EXPLOSION LWC HISTORIC BLOWOUT UNDERGROUND SURFACE DEVERTER SURFACE EQUIPMENT FAILURE OR COLLISION HISTORIC >$25K STRUCTURAL DAMAGE CRANE OTHER LIFTING DAMAGED/DISABLED SAFETY SYS. X INCIDENT >$25K 125K H2S/15MIN./20PPM X REQUIRED MUSTER SHUTDOWN FROM GAS RELEASE X OTHER compressor end cap REPRESENTATIVE/SUPERVISOR,X PRODUCTION DRILLING WORKOVER COMPLETION HELICOPTER MOTOR VESSEL PIPELINE SEGMENT NO. OTHER,X EQUIPMENT FAILURE X HUMAN ERROR X EXTERNAL DAMAGE SLIP/TRIP/FALL WEATHER RELATED LEAK UPSET H2O TREATING OVERBOARD DRILLING FLUID OTHER,3294 FT.,"The entire Booster Compressor Cooler Module, PSV and discharge piping, ESD station #7, Main Deck South Guardrail, spray bottle and hearing protection box.",YES,"On 12-26-18 an Incident of Non-Compliance (INC-G-110 (W)) was issued from the Houma District Office for an incident occurring on 12-23-18. The INC states as follows: “During start up the ZZZ 9790 Booster Comp. gas cooler end caps blew off. Vent tubing line coming off air regulator was found hooked to sensing line going into MBF 1940 Suction Scrubber, mixing air and gas together. Contact Houma Office before startup of booster comp.”",,,29. ACCIDENT INVESTIGATION PANEL FORMED: NO,Eni US Operating Co. Inc. REPRESENTATIVE: TELEPHONE: CONTRACTOR: Reagan Power and Compression REPRESENTATIVE: TELEPHONE:,C,ok,https://www.bsee.gov/sites/bsee.gov/files/gc-254-eni-us-operating-23-dec-18a.pdf,731ab15ea8622e6d6366381939d4cf71d273c11c50e0c1972436283dae9dc5bc
GC-281-20210604-0930,EXPLORATION(POE) X DEVELOPMENT/PRODUCTION (DOCD/POD),INJURIES: HISTORIC INJURY OPERATOR REQUIRED EVACUATION LTA (1-3 days) LTA (>3 days) RW/JT (1-3 days) X RW/JT (>3 days) 0 FATALITY Other Injury POLLUTION FIRE EXPLOSION LWC HISTORIC BLOWOUT UNDERGROUND SURFACE DEVERTER SURFACE EQUIPMENT FAILURE OR COLLISION HISTORIC >$25K STRUCTURAL DAMAGE CRANE OTHER LIFTING DAMAGED/DISABLED SAFETY SYS. INCIDENT >$25K H2S/15MIN./20PPM REQUIRED MUSTER SHUTDOWN FROM GAS RELEASE OTHER REPRESENTATIVE/SUPERVISOR,PRODUCTION X DRILLING WORKOVER COMPLETION HELICOPTER MOTOR VESSEL PIPELINE SEGMENT NO. OTHER,EQUIPMENT FAILURE X HUMAN ERROR EXTERNAL DAMAGE CONTRACTOR SLIP/TRIP/FALL WEATHER RELATED LEAK UPSET H2O TREATING OVERBOARD DRILLING FLUID 1 OTHER,2755 FT.,N/A $,NO,24. SPECIFY VIOLATIONS DIRECTLY OR N/A,,,29. ACCIDENT INVESTIGATION PANEL FORMED: NO,Talos Oil and Gas LLC REPRESENTATIVE: TELEPHONE: CONTRACTOR: REPRESENTATIVE: TELEPHONE:,C,ok,https://www.bsee.gov/sites/bsee.gov/files/gc-281-talos-04-june-2021.pdf,bda70aae95f1dfb2cbda0304a90d7183c969bf5b64a478412220d4265ff63048
GC-338-20190916-1700,EXPLORATION(POE) X DEVELOPMENT/PRODUCTION (DOCD/POD),INJURIES: HISTORIC INJURY OPERATOR REQUIRED EVACUATION LTA (1-3 days) LTA (>3 days) RW/JT (1-3 days) RW/JT (>3 days) FATALITY X Other Injury 2 First Aid POLLUTION FIRE EXPLOSION LWC HISTORIC BLOWOUT UNDERGROUND SURFACE DEVERTER SURFACE EQUIPMENT FAILURE OR COLLISION HISTORIC >$25K STRUCTURAL DAMAGE X CRANE OTHER LIFTING C DAMAGED/DISABLED SAFETY SYS. INCIDENT >$25K H2S/15MIN./20PPM REQUIRED MUSTER SHUTDOWN FROM GAS RELEASE OTHER REPRESENTATIVE/SUPERVISOR,X PRODUCTION DRILLING WORKOVER COMPLETION HELICOPTER MOTOR VESSEL PIPELINE SEGMENT NO. OTHER,EQUIPMENT FAILURE HUMAN ERROR EXTERNAL DAMAGE CONTRACTOR SLIP/TRIP/FALL WEATHER RELATED LEAK UPSET H2O TREATING OVERBOARD DRILLING FLUID OTHER,3330 FT.,Crane Sheave,NO,24. SPECIFY VIOLATIONS DIRECTLY OR,,,29. ACCIDENT INVESTIGATION PANEL FORMED: NO,Murphy Exploration & Production REPRESENTATIVE: TELEPHONE: CONTRACTOR: Nabors Offshore Corporation REPRESENTATIVE: TELEPHONE:,C,ok,https://www.bsee.gov/sites/bsee.gov/files/gc-338-16sep19.pdf,8056f3bd0c901bd2929231eef54a7c9f2153896f55a202376e368f694e6440cd
GC-338-20120303-2130,[] EXPLORATION (PO E) ~ (DOCD/POD),[] HISTORIC INJURY REQUIRED EVACUATION LTA (1-3 days) LTA (>3 days RW/JT (1-3 days) RW/JT (>3 days) Other Injury FATALITY ~ POLLUTION X FIRE EXPLOSION LWC ~ H ISTORIC BLOWOUT UNDERGROUND SURFACE DEVERTER SURFACE EQUIPMENT FAILURE OR D COLLISION 0 HISTORIC >$25K STRUCTURAL DAMAGE HOURS CRANE OTHER LIFTING DEVICE Production Cc DAMAGED/DISABLED SAFETY SYS. INCIDENT >$25K H2S / 15MIN. /20PPM REQUIRED MUSTER SHUTDOWN FROM GAS RELEASE X OTHER Flammable Materials REPRESENTATIVE/SUPERVISOR,X PRODUCTION DRILLING WORKOVER 27.62484093 COMPLETION -90.44104746 HELICOPTER MOTOR VESSEL PIPELINE SEGMENT NO. OTHER,"DEVELOPMENT/PRODUCTION EQUIPMENT FAILURE HUMAN ERROR EXTERNAL DAMAGE SLIP/TRIP/FALL X WEATHER RELATED LEAK UPSET H20 TREATING OVERBOARD DRILLING FLUID X OTHER Prod. SI, Comp. BD",3330 FT.,"NATURE coco mats, rope, and an air line burned $200",,24. SPECIFY VIOLATIONS DIRECTLY OR n/a,,,29. ACCIDENT INVESTIGATION PANEL FORMED: NO,Murphy Exploration & REPRESENTATIVE: TELEPHONE: CONTRACTOR: Nabors Drilling Inc. REPRESENTATIVE: TELEPHONE:,B,ok,https://www.bsee.gov/sites/bsee.gov/files/reports/safety/gc-338-murphy-3-march-2012.pdf,c2867478ce3ae6965d72a364e0712b331d52c18676ff3394057d20138fecdb7d
GC-338-20120929-0345,[] EXPLORATION (POE) ~ (DOCD/POD),[] HISTORIC INJURY X REQUIRED EVACUATION 1 LTA (1-3 days) LTA (>3 days RW/JT (1-3 days) x RW/JT (>3 days) 1 Other Injury FATALITY ~ P OLLUTION FIRE EXPLOSION LWC ~ H ISTORIC BLOWOUT UNDERGROUND SURFACE DEVERTER SURFACE EQUIPMENT FAILURE OR D COLLISION 0 HISTORIC >$25K STRUCTURAL DAMAGE HOURS CRANE OTHER LIFTING DEVICE Production Co DAMAGED/DISABLED SAFETY SYS. INCIDENT >$25K H2S / 15MIN. /20PPM REQUIRED MUSTER SHUTDOWN FROM GAS RELEASE XOTHER Loss of fingers on left hand REPRESENTATIVE/SUPERVISOR,PRODUCTION X DRILLING WORKOVER COMPLETION HELICOPTER MOTOR VESSEL PIPELINE SEGMENT NO. OTHER,DEVELOPMENT/PRODUCTION EQUIPMENT FAILURE X HUMAN ERROR EXTERNAL DAMAGE X SLIP/TRIP/FALL WEATHER RELATED LEAK UPSET H20 TREATING OVERBOARD DRILLING FLUID OTHER,3330 FT.,,NO time.,24. SPECIFY VIOLATIONS DIRECTLY OR,,,29. ACCIDENT INVESTIGATION PANEL FORMED: NO Campo /,Murphy Exploration & REPRESENTATIVE: TELEPHONE: CONTRACTOR: REPRESENTATIVE: TELEPHONE:,B,ok,https://www.bsee.gov/sites/bsee.gov/files/reports/reports/gc-338a-murphy-exploration-and-production-15-july-2013.pdf,84e452e92ae930585c74a2919af6136addedf302f585b35e4a5d15695c3a952e
GC-338-20151016-2015,EXPLORATION(POE) X (DOCD/POD),HISTORIC INJURY REQUIRED EVACUATION 1 X LTA (1-3 days) LTA (>3 days RW/JT (1-3 days) RW/JT (>3 days) Other Injury FATALITY X POLLUTION FIRE EXPLOSION LWC HISTORIC BLOWOUT UNDERGROUND SURFACE DEVERTER SURFACE EQUIPMENT FAILURE OR COLLISION HISTORIC >$25K INVESTIGATION REPORT STRUCTURAL DAMAGE HOURS CRANE OTHER LIFTING DEVICE Production Co DAMAGED/DISABLED SAFETY SYS. X INCIDENT >$25K 1.5 million H2S/15MIN./20PPM X REQUIRED MUSTER X SHUTDOWN FROM GAS RELEASE OTHER REPRESENTATIVE/SUPERVISOR,X PRODUCTION DRILLING WORKOVER COMPLETION HELICOPTER MOTOR VESSEL PIPELINE SEGMENT NO. OTHER,DEVELOPMENT/PRODUCTION X EQUIPMENT FAILURE X HUMAN ERROR EXTERNAL DAMAGE SLIP/TRIP/FALL WEATHER RELATED LEAK UPSET H2O TREATING OVERBOARD DRILLING FLUID X OTHER LP Pipe Rupture,3330 FT.,"1. 18 inch LP Header piping 2. Platform lighting and fixtures 3. Production, cellar, and mezzanine decks",YES,"E-100: "" Is the operator preventing unauthorized discharge of pollutants into offshore waters?"" On October 16,2015, an incident occurred on the structure. An 18-inch line leading from the LP Header GAY-610 to the LP Seperator MBD-1040 ruptured, spraying a large amount of oil throughout the Production",,,,Murphy Exploration & REPRESENTATIVE: TELEPHONE: CONTRACTOR: REPRESENTATIVE: TELEPHONE:,B,ok,https://www.bsee.gov/sites/bsee.gov/files/reports/incident-and-investigations/gc-338a-murphy-exploration-and-production-16-oct-2015.pdf,713114dd1c056528e4110828adcd72f2f7e6861dd47d16f501b433186a77f5d5
GC-36-2100,IBI EXPLORATION (POE) [] (DOCD/POD),"[] HISTORIC INJURY REQUIRED EVACUATION LTA (1-3 days) LTA (>3 days RW/JT (1-3 days) RW/JT (>3 days) Other Injury FATALITY ~ POLLUTION FIRE EXPLOSION LWC ~ H ISTORIC BLOWOUT UNDERGROUND SURFACE DEVERTER SURFACE EQUIPMENT FAILURE OR D COLLISION 0 HISTORIC >$25K STRUCTURAL DAMAGE HOURS CRANE X OTHER LIFTING DEVICE Pipe Racking System DAMAGED/DISABLED SAFETY SYS. X INCIDENT >$25K $350, 000 H2S / 15MIN. /20PPM REQUIRED MUSTER SHUTDOWN FROM GAS RELEASE OTHER REPRESENTATIVE/SUPERVISOR",PRODUCTION X DRILLING WORKOVER COMPLETION HELICOPTER MOTOR VESSEL PIPELINE SEGMENT NO. OTHER AMERICAS,DEVELOPMENT/PRODUCTION EQUIPMENT FAILURE HUMAN ERROR EXTERNAL DAMAGE SLIP/TRIP/FALL WEATHER RELATED LEAK UPSET H20 TREATING OVERBOARD DRILLING FLUID OTHER,1941 FT.,"Pipe Racking System N/A $350,000",NO time.,24. SPECIFY VIOLATIONS DIRECTLY OR,,,29. ACCIDENT INVESTIGATION PANEL FORMED: NO Liner /,Statoil USA E&P Inc. REPRESENTATIVE: TELEPHONE: CONTRACTOR: REPRESENTATIVE: TELEPHONE:,B,ok,https://www.bsee.gov/sites/bsee.gov/files/reports/incident-and-investigations/gc-36-statoil-10-oct-2012.pdf,a16e920204eccd3c9dc56428f5df9ab08dfbd633ae1479ce419dfcf92273c3eb
GC-36-20121107-0145,EXPLORATION(POE) [J (DOCD/POD),[] HISTORIC INJURY REQUIRED EVACUATION LTA (1-3 days) LTA (>3 days RW/JT (1-3 days) RW/JT (>3 days) Other Injury FATALITY ~ POLLUTION FIRE EXPLOSION LWC ~ HISTORIC BLOWOUT UNDERGROUND SURFACE DEVERTER SURFACE EQUIPMENT FAILURE OR D COLLISION D HISTORIC >$25K STRUCTURAL DAMAGE HOURS CRANE OTHER LIFTING DEVICE DAMAGED/DISABLED SAFETY SYS. INCIDENT >$25K H2S / 15MIN. /20PPM REQUIRED MUSTER SHUTDOWN FROM GAS RELEASE X OTHER Fingerboard Near Miss REPRESENTATIVE/SUPERVISOR 6. OPERATI ON: PRODUCTION X DRILLING WORKOVER COMPLETION HELI COPTER MOTOR VESSEL PIPELINE SEGMENT NO. OTHER AMERICAS,,DEVELOPMENT/PRODUCTION EQU IPMENT FAILURE X HUMAN ERROR EXTERNAL DAMAGE SLIP/TRIP/FALL WEATHER RELATED LEAK UPSET H20 TREATING OVERBOARD DRILLING FLUID OTHER,1941 FT.,N/A the importance of measuring both ends of N/A $,YES,"A G-111 was issued on November 8, 2012 stating the following: ""The lessee did not maintain all equipment in a safe condition. Equipment failure occured [sic] on 11-7-2012 at 1:45 AM. A stand of 14"" casing fell across the derrick. The finger board fingers did not hold the casing securely in place. The finger in question can not [sic] be used until repaired or replaced and approved by BSEE Houma District."" ""The operator will submit a letter of explanation to the BSDEE Houma District office with the corrected green findings and corrective actions",,,29. ACCIDENT INVESTIGATION PANEL FORMED: NO /,Statoil USA E&P Inc. REPRESENTATIVE: TELEPHONE: CONTRACTOR: Transocean Offshore REPRESENTATIVE: TELEPHONE:,B,ok,https://www.bsee.gov/sites/bsee.gov/files/reports/safety/gc-36-statoil-7-november-2012.pdf,d180d78d895c581b0011c0f3662f03f65460294e3682642ed9f045381d515a1f
GC-389-20220115-1610,EXPLORATION(POE) X DEVELOPMENT/PRODUCTION (DOCD/POD),INJURIES: HISTORIC INJURY OPERATOR REQUIRED EVACUATION LTA (1-3 days) LTA (>3 days) RW/JT (1-3 days) RW/JT (>3 days) FATALITY Other Injury X POLLUTION FIRE EXPLOSION LWC HISTORIC BLOWOUT UNDERGROUND SURFACE DEVERTER SURFACE EQUIPMENT FAILURE OR COLLISION HISTORIC >$25K STRUCTURAL DAMAGE CRANE OTHER LIFTING C DAMAGED/DISABLED SAFETY SYS. INCIDENT >$25K H2S/15MIN./20PPM REQUIRED MUSTER SHUTDOWN FROM GAS RELEASE X OTHER EDS - Spill REPRESENTATIVE/SUPERVISOR,PRODUCTION DRILLING WORKOVER X COMPLETION HELICOPTER MOTOR VESSEL PIPELINE SEGMENT NO. PACIFIC SHARAOVT)HER,EQUIPMENT FAILURE HUMAN ERROR EXTERNAL DAMAGE CONTRACTOR SLIP/TRIP/FALL X WEATHER RELATED LEAK UPSET H2O TREATING X OVERBOARD DRILLING FLUID X OTHER 420 bbls. ZnBr2,3604 FT.,NATURE N/A N/A $,YES OF DAMAGE: office of Incident Investigations at,"2 INC's issued for this incident: E-100 On January 15, 2022 the rig entered the red watch circle and an Emergency Disconnect Sequence occurred. This resulted in unauthorized discharge of 550 barrels of Zinc Bromide (ZnBr2) spilling into the Gulf of Mexico. G-110 On January 15, 2022 the Operator failed to complete the submitted Well Suspension Procedure in a safe and timely manner knowing inclement weather was approaching, resulting in an Emergency Disconnect Sequence (EDS) instead of a planned and safe disconnect of the Lower Marine Riser Package (LMRP). At the time of EDS 550 barrels of Zinc Bromide (ZnBr2)from the riser was discharged into send a letter of explanation to the Houma detailing how it will be prevented in the",,,29. ACCIDENT INVESTIGATION PANEL FORMED: NO,Murphy Exploration & Production REPRESENTATIVE: TELEPHONE: CONTRACTOR: NOBLE DRILLING (U.S.) INC. REPRESENTATIVE: TELEPHONE:,C,ok,https://www.bsee.gov/sites/bsee.gov/files/gc-389-12jan22.pdf,adb78834d3c3dbec27b7516c41e183db129134b360dc1529c71b025bc4436d97
GC-432-20180510-1730,X EXPLORATION(POE) DEVELOPMENT/PRODUCTION (DOCD/POD),HISTORIC INJURY REQUIRED EVACUATION LTA (1-3 days) LTA (>3 days RW/JT (1-3 days) RW/JT (>3 days) Other Injury FATALITY POLLUTION X FIRE EXPLOSION LWC HISTORIC BLOWOUT UNDERGROUND SURFACE DEVERTER SURFACE EQUIPMENT FAILURE OR COLLISION HISTORIC >$25K STRUCTURAL DAMAGE CRANE OTHER LIFTING Production C DAMAGED/DISABLED SAFETY SYS. INCIDENT >$25K H2S/15MIN./20PPM REQUIRED MUSTER SHUTDOWN FROM GAS RELEASE OTHER REPRESENTATIVE/SUPERVISOR,PRODUCTION DRILLING X WORKOVER COMPLETION HELICOPTER MOTOR VESSEL PIPELINE SEGMENT NO. OTHER,X EQUIPMENT FAILURE X HUMAN ERROR EXTERNAL DAMAGE SLIP/TRIP/FALL WEATHER RELATED LEAK UPSET H2O TREATING OVERBOARD DRILLING FLUID OTHER,3464 FT.,"9 feet of 1"" hose during installation. Melted discharge hose. $92",NO,24. SPECIFY VIOLATIONS DIRECTLY OR INDIRECTLY,28.,,,Murphy Exploration & REPRESENTATIVE: TELEPHONE: CONTRACTOR: Diversified REPRESENTATIVE: TELEPHONE:,C,ok,https://www.bsee.gov/sites/bsee.gov/files/gc-432-murphy-10-may-2018.pdf,54a2745b16223776cd21ac395d12765cbde85ee4a5fd0da3b3f9b23f37a6587f
GC-478-20170407-1500,X EXPLORATION(POE) (DOCD/POD),"HISTORIC INJURY REQUIRED EVACUATION LTA (1-3 days) LTA (>3 days RW/JT (1-3 days) RW/JT (>3 days) Other Injury FATALITY POLLUTION FIRE EXPLOSION LWC HISTORIC BLOWOUT UNDERGROUND SURFACE DEVERTER SURFACE EQUIPMENT FAILURE OR COLLISION HISTORIC >$25K INVESTIGATION REPORT STRUCTURAL DAMAGE HOURS X CRANE OTHER LIFTING DEVICE Offshore, L.L.C. DAMAGED/DISABLED SAFETY SYS. INCIDENT >$25K H2S/15MIN./20PPM REQUIRED MUSTER SHUTDOWN FROM GAS RELEASE OTHER REPRESENTATIVE/SUPERVISOR",PRODUCTION X DRILLING WORKOVER COMPLETION HELICOPTER MOTOR VESSEL PIPELINE SEGMENT NO. OTHER LOUISIANA,DEVELOPMENT/PRODUCTION X EQUIPMENT FAILURE HUMAN ERROR EXTERNAL DAMAGE SLIP/TRIP/FALL WEATHER RELATED LEAK UPSET H2O TREATING OVERBOARD DRILLING FLUID OTHER,3801 FT.,to be addressed. N/A N/A,NO Office of Incident,24. SPECIFY VIOLATIONS DIRECTLY OR,,,29. ACCIDENT INVESTIGATION PANEL FORMED: NO /,LLOG Exploration REPRESENTATIVE: TELEPHONE: CONTRACTOR: Seadrill Limited REPRESENTATIVE: TELEPHONE:,B,ok,https://www.bsee.gov/sites/bsee.gov/files/gc-478-llog-07-apr-2017.pdf,d14a23645e528240b1ede6d376dd9f7564bf0c6c694feec251dd5961c21da5ac
GC-512-20160102-0910,EXPLORATION(POE) X (DOCD/POD),"HISTORIC INJURY REQUIRED EVACUATION LTA (1-3 days) LTA (>3 days RW/JT (1-3 days) RW/JT (>3 days) Other Injury FATALITY POLLUTION FIRE EXPLOSION LWC HISTORIC BLOWOUT UNDERGROUND SURFACE DEVERTER SURFACE EQUIPMENT FAILURE OR COLLISION HISTORIC >$25K INVESTIGATION REPORT STRUCTURAL DAMAGE HOURS CRANE OTHER LIFTING DEVICE DAMAGED/DISABLED SAFETY SYS. INCIDENT >$25K H2S/15MIN./20PPM Drilling, Inc. REQUIRED MUSTER SHUTDOWN FROM GAS RELEASE X OTHER Dropped Object (TD Svc Loop) REPRESENTATIVE/SUPERVISOR",PRODUCTION X DRILLING WORKOVER COMPLETION HELICOPTER MOTOR VESSEL PIPELINE SEGMENT NO. OTHER BLACKLION,DEVELOPMENT/PRODUCTION X EQUIPMENT FAILURE HUMAN ERROR EXTERNAL DAMAGE SLIP/TRIP/FALL WEATHER RELATED LEAK UPSET H2O TREATING OVERBOARD DRILLING FLUID OTHER,3577 FT.,Service Loop,NO,24. SPECIFY VIOLATIONS DIRECTLY OR N/A,,,29. ACCIDENT INVESTIGATION PANEL FORMED: NO,Hess Corporation REPRESENTATIVE: TELEPHONE: CONTRACTOR: Diamond Offshore REPRESENTATIVE: TELEPHONE:,B,ok,https://www.bsee.gov/sites/bsee.gov/files/reports/incident-and-investigations/gc-512-hess-02-jan-2016.pdf,9941e1626cf79845a24e9535969eb3c962680e4a9a74224a8ce6903a8e1c8b97
GC-518-20211113-1620,EXPLORATION(POE) X DEVELOPMENT/PRODUCTION (DOCD/POD),INJURIES: HISTORIC INJURY OPERATOR REQUIRED EVACUATION LTA (1-3 days) LTA (>3 days) RW/JT (1-3 days) RW/JT (>3 days) FATALITY Other Injury POLLUTION FIRE EXPLOSION LWC HISTORIC BLOWOUT UNDERGROUND SURFACE DEVERTER SURFACE EQUIPMENT FAILURE OR COLLISION HISTORIC >$25K STRUCTURAL DAMAGE CRANE X OTHER LIFTING Elevators Corporation DAMAGED/DISABLED SAFETY SYS. INCIDENT >$25K H2S/15MIN./20PPM REQUIRED MUSTER SHUTDOWN FROM GAS RELEASE OTHER REPRESENTATIVE/SUPERVISOR,PRODUCTION X DRILLING WORKOVER COMPLETION HELICOPTER MOTOR VESSEL PIPELINE SEGMENT NO. OTHER,EQUIPMENT FAILURE X HUMAN ERROR EXTERNAL DAMAGE CONTRACTOR SLIP/TRIP/FALL WEATHER RELATED LEAK UPSET H2O TREATING OVERBOARD DRILLING FLUID OTHER,4300 FT.,NATURE N/A N/A $,NO OF DAMAGE: Office of Incident Investigations at,24. SPECIFY VIOLATIONS DIRECTLY OR N/A,,,29. ACCIDENT INVESTIGATION PANEL FORMED: NO,Anadarko Petroleum REPRESENTATIVE: TELEPHONE: CONTRACTOR: Diamond Offshore REPRESENTATIVE: TELEPHONE:,C,ok,https://www.bsee.gov/sites/bsee.gov/files/gc-518-anadarko-nov-13-21.pdf,2e4392a73b793ec97625a43b0938c6a17c188646a007e67afa06882fee7faa3f
GC-521-20170206-0740,X EXPLORATION(POE) (DOCD/POD),HISTORIC INJURY REQUIRED EVACUATION LTA (1-3 days) LTA (>3 days RW/JT (1-3 days) RW/JT (>3 days) Other Injury FATALITY POLLUTION FIRE EXPLOSION LWC HISTORIC BLOWOUT UNDERGROUND SURFACE DEVERTER SURFACE EQUIPMENT FAILURE OR COLLISION HISTORIC >$25K INVESTIGATION REPORT STRUCTURAL DAMAGE HOURS CRANE OTHER LIFTING DEVICE Petroleum (GOM) Inc. DAMAGED/DISABLED SAFETY SYS. INCIDENT >$25K H2S/15MIN./20PPM REQUIRED MUSTER SHUTDOWN FROM GAS RELEASE X OTHER Top Drive REPRESENTATIVE/SUPERVISOR,PRODUCTION X DRILLING WORKOVER COMPLETION HELICOPTER MOTOR VESSEL PIPELINE SEGMENT NO. OTHER INVICTUS,DEVELOPMENT/PRODUCTION EQUIPMENT FAILURE X HUMAN ERROR EXTERNAL DAMAGE SLIP/TRIP/FALL WEATHER RELATED LEAK UPSET H2O TREATING OVERBOARD DRILLING FLUID OTHER,4036 FT.,"-Hydraulic fitting on MDDM -Sheared bolts on Temperature Sonic Sensor -Bent drill pipe Recommendations to BSEE to Prevent 22. The Houma District Office has no Investigations at this time. and the Iron Roughneck Operator. out, allowing it to tilt slightly MDDM struck box end of drill pipe while descending Recurrence recommendations to make to the Office of Incident",NO,24. SPECIFY VIOLATIONS DIRECTLY OR,,,29. ACCIDENT INVESTIGATION PANEL FORMED: NO Paul,BHP Billiton REPRESENTATIVE: TELEPHONE: CONTRACTOR: Transocean Offshore REPRESENTATIVE: TELEPHONE:,B,ok,https://www.bsee.gov/sites/bsee.gov/files/gc-521-bhp-06-feb-2017.pdf,27cf9082beda2321590947d2d2b0a59344bb84765d2632096605ba4b4bd475cc
GC-596-20160107-2245,EXPLORATION(POE) X (DOCD/POD),HISTORIC INJURY REQUIRED EVACUATION LTA (1-3 days) LTA (>3 days RW/JT (1-3 days) RW/JT (>3 days) Other Injury FATALITY POLLUTION FIRE EXPLOSION LWC HISTORIC BLOWOUT UNDERGROUND SURFACE DEVERTER SURFACE EQUIPMENT FAILURE OR COLLISION HISTORIC >$25K INVESTIGATION REPORT STRUCTURAL DAMAGE HOURS X CRANE OTHER LIFTING DEVICE California DAMAGED/DISABLED SAFETY SYS.Overload X INCIDENT >$25K Switch H2S/15MIN./20PPM REQUIRED MUSTER SHUTDOWN FROM GAS RELEASE OTHER REPRESENTATIVE/SUPERVISOR,PRODUCTION DRILLING WORKOVER X COMPLETION HELICOPTER MOTOR VESSEL PIPELINE SEGMENT NO. INSPIRATION OTHER,DEVELOPMENT/PRODUCTION X EQUIPMENT FAILURE X HUMAN ERROR EXTERNAL DAMAGE SLIP/TRIP/FALL WEATHER RELATED LEAK UPSET H2O TREATING OVERBOARD DRILLING FLUID OTHER,4021 FT.,Hoist Wire for BOP Palfinger Crane,YES to the Regional Office at this,"A G-111 (W) was issued as follows: On January 7, 2016 an incident occurred on the Transocean Discoverer Inspiration in which the BOP Palfinger crane’s hoist wire parted and the crane's 270 pound block fell 27 feet to the deck. The key issues which lead up to this event were: • The crane was installed in February 2014 but the OEM departed the rig prior to a full factory acceptance test being conducted. o The crane was not put into service due to a lack of certified operators. • The safety systems to prevent the hoist wire from parting were not verified to be functional prior to operating the crane. • Operating procedures for the Palfinger crane were not available on the rig. The operator must respond with a letter of explanation addressing each of these issues and explain what corrective future occurrences.",,,29. ACCIDENT INVESTIGATION PANEL FORMED: NO,Union Oil Company of REPRESENTATIVE: TELEPHONE: CONTRACTOR: Transocean Offshore REPRESENTATIVE: TELEPHONE:,B,ok,https://www.bsee.gov/sites/bsee.gov/files/gc-596-union-oil-company-of-califonia-07-jan-2016.pdf,48154a0b9d4422ae4c7089c447b46845bdcbf5c7b396cfa3a69e5df2a40b7930
GC-608-20121219-1400,EXPLORATION(POE) X DEVELOPMENT/PRODUCTION (DOCD/POD),HISTORIC INJURY REQUIRED EVACUATION 1 X LTA (1-3 days) X LTA (>3 days 1 RW/JT (1-3 days) RW/JT (>3 days) Other Injury FATALITY POLLUTION FIRE EXPLOSION LWC HISTORIC BLOWOUT UNDERGROUND SURFACE DEVERTER SURFACE EQUIPMENT FAILURE OR COLLISION HISTORIC >$25K STRUCTURAL DAMAGE X CRANE OTHER LIFTING DEVICE DAMAGED/DISABLED SAFETY SYS. INCIDENT >$25K H2S/15MIN./20PPM Com REQUIRED MUSTER SHUTDOWN FROM GAS RELEASE OTHER REPRESENTATIVE/SUPERVISOR,PRODUCTION X DRILLING WORKOVER COMPLETION HELICOPTER MOTOR VESSEL PIPELINE SEGMENT NO. OTHER,EQUIPMENT FAILURE X HUMAN ERROR EXTERNAL DAMAGE SLIP/TRIP/FALL WEATHER RELATED LEAK UPSET H2O TREATING OVERBOARD DRILLING FLUID OTHER,4300 FT.,NATURE N/A N/A,YES the accident. OF DAMAGE: recommendations at this time.,"The G-110 that was issued for the accident states: ""On December 19, 2012, an employees's foot was smashed while attempting to relocate a MPT tank to the strongback mats on the rig. As the load came off the deck, the Crane Operator noticed the tank starting to swing towards the Roustabout. The Crane Operator dropped the tank back down onto the deck without being instructed to do so from his flagger. As a result, the tank landed on the Roustabout's foot, compressing the steal toe of his boot and severing off four of the toes on the employee's right foot."" The Roustabouts involved in the accident failed to follow company policy by not attaching tag lines to the load before making a lift. Blake International's 'Personnel Safety Manual (SG-3 Crane Operations)' states: ""Use tag (restraining) lines any time a lift is made; use extra lines in windy or rough conditions. Tag lines should be of an appropriate length for the certain situation so it does not put the handling the load.""",,,29. ACCIDENT INVESTIGATION PANEL FORMED: NO Cedric Bernard / James Richard /,Anadarko Petroleum Corporation REPRESENTATIVE: TELEPHONE: CONTRACTOR: Blake Drilling and Workover REPRESENTATIVE: TELEPHONE:,B,ok,https://www.bsee.gov/sites/bsee.gov/files/reports/safety/gc-608-anadarko-petroleum-19-december-2012.pdf,03e3b8c5ceb2f30ba52cc13f246d6f235977d21b7359a482dfd4f778b28348d5
